interaction_id,user_id,place_id,interaction_type,timestamp,created_at
1,1,37,preview_viewed,2026-02-08 08:57:58.523028,2026-02-10 08:57:58.523028
2,1,440,preview_viewed,2025-12-14 08:57:58.535995,2026-02-10 08:57:58.535995
3,1,18,route_requested,2026-01-26 08:57:58.544929,2026-02-10 08:57:58.544929
4,1,440,skip,2025-11-02 08:57:58.564914,2026-02-10 08:57:58.564914
5,1,555,route_requested,2025-12-27 08:57:58.568864,2026-02-10 08:57:58.568864
6,1,572,click,2026-01-09 08:57:58.576844,2026-02-10 08:57:58.576844
7,1,464,click,2026-01-30 08:57:58.581831,2026-02-10 08:57:58.581831
8,1,555,click,2026-02-02 08:57:58.586817,2026-02-10 08:57:58.586817
9,1,562,click,2026-02-07 08:57:58.591803,2026-02-10 08:57:58.591803
10,1,5,click,2026-02-02 08:57:58.601777,2026-02-10 08:57:58.601777
11,1,236,search,2026-02-07 08:57:58.606764,2026-02-10 08:57:58.606764
12,1,154,search,2026-01-30 08:57:58.610753,2026-02-10 08:57:58.610753
13,1,280,skip,2026-01-30 08:57:58.613758,2026-02-10 08:57:58.613758
14,1,546,search,2026-01-15 08:57:58.616735,2026-02-10 08:57:58.616735
15,1,547,preview_viewed,2026-02-05 08:57:58.621243,2026-02-10 08:57:58.621243
16,1,254,click,2026-02-03 08:57:58.629703,2026-02-10 08:57:58.629703
17,1,236,route_requested,2026-01-17 08:57:58.634690,2026-02-10 08:57:58.634690
18,1,547,click,2026-01-31 08:57:58.639677,2026-02-10 08:57:58.639677
19,1,610,click,2025-11-22 08:57:58.642666,2026-02-10 08:57:58.642666
20,1,142,preview_viewed,2025-12-10 08:57:58.646657,2026-02-10 08:57:58.646657
21,1,610,preview_viewed,2025-12-28 08:57:58.649650,2026-02-10 08:57:58.649650
22,1,464,route_requested,2026-01-19 08:57:58.654637,2026-02-10 08:57:58.654637
23,1,328,preview_viewed,2025-12-18 08:57:58.657627,2026-02-10 08:57:58.657627
24,1,51,click,2025-12-15 08:57:58.662614,2026-02-10 08:57:58.662614
25,1,142,click,2026-01-27 08:57:58.667601,2026-02-10 08:57:58.667601
26,1,533,click,2026-01-13 08:57:58.670890,2026-02-10 08:57:58.670890
27,2,464,click,2026-01-19 08:57:58.676578,2026-02-10 08:57:58.676578
28,2,142,click,2026-02-10 08:57:58.681627,2026-02-10 08:57:58.681627
29,2,324,click,2025-12-18 08:57:58.686549,2026-02-10 08:57:58.686549
30,2,154,preview_viewed,2026-01-24 08:57:58.691537,2026-02-10 08:57:58.691537
31,2,392,click,2026-01-28 08:57:58.695526,2026-02-10 08:57:58.695526
32,2,179,click,2026-02-01 08:57:58.700512,2026-02-10 08:57:58.700512
33,2,213,click,2026-01-27 08:57:58.703506,2026-02-10 08:57:58.703506
34,2,143,click,2025-12-20 08:57:58.713638,2026-02-10 08:57:58.713638
35,2,590,preview_viewed,2026-01-22 08:57:58.718465,2026-02-10 08:57:58.718465
36,2,531,search,2025-12-29 08:57:58.723451,2026-02-10 08:57:58.723451
37,2,464,click,2026-02-01 08:57:58.728439,2026-02-10 08:57:58.728439
38,2,544,search,2026-01-25 08:57:58.732425,2026-02-10 08:57:58.732425
39,2,179,route_requested,2026-02-02 08:57:58.737458,2026-02-10 08:57:58.737458
40,2,156,preview_viewed,2026-02-09 08:57:58.742400,2026-02-10 08:57:58.742400
41,2,498,click,2025-08-19 08:57:58.755365,2026-02-10 08:57:58.755365
42,2,500,route_requested,2026-02-02 08:57:58.758357,2026-02-10 08:57:58.758357
43,2,78,preview_viewed,2025-12-15 08:57:58.763346,2026-02-10 08:57:58.763346
44,2,283,click,2026-02-08 08:57:58.771323,2026-02-10 08:57:58.771323
45,2,336,skip,2026-02-06 08:57:58.776312,2026-02-10 08:57:58.776312
46,2,464,preview_viewed,2026-01-31 08:57:58.780299,2026-02-10 08:57:58.780299
47,2,614,click,2026-01-19 08:57:58.785328,2026-02-10 08:57:58.785328
48,2,78,click,2025-11-30 08:57:58.792267,2026-02-10 08:57:58.792267
49,2,252,preview_viewed,2026-02-06 08:57:58.795260,2026-02-10 08:57:58.795260
50,2,514,click,2025-12-17 08:57:58.802239,2026-02-10 08:57:58.802239
51,2,517,click,2025-12-31 08:57:58.808232,2026-02-10 08:57:58.808232
52,2,276,search,2026-01-30 08:57:58.816203,2026-02-10 08:57:58.816203
53,2,464,route_requested,2026-01-25 08:57:58.821190,2026-02-10 08:57:58.821190
54,2,586,click,2026-02-01 08:57:58.830166,2026-02-10 08:57:58.830166
55,2,255,click,2025-12-12 08:57:58.839145,2026-02-10 08:57:58.839145
56,2,538,click,2026-01-29 08:57:58.845125,2026-02-10 08:57:58.845125
57,2,219,click,2025-12-04 08:57:58.849167,2026-02-10 08:57:58.849167
58,2,51,save,2025-11-17 08:57:58.855107,2026-02-10 08:57:58.855107
59,2,4,search,2025-12-28 08:57:58.858090,2026-02-10 08:57:58.858090
60,2,143,preview_viewed,2026-02-09 08:57:58.866070,2026-02-10 08:57:58.866070
61,2,193,click,2026-01-02 08:57:58.871056,2026-02-10 08:57:58.871056
62,2,472,click,2026-02-08 08:57:58.874277,2026-02-10 08:57:58.874277
63,2,255,preview_viewed,2026-02-02 08:57:58.883546,2026-02-10 08:57:58.883546
64,3,290,click,2025-12-06 08:57:58.887014,2026-02-10 08:57:58.887014
65,3,555,preview_viewed,2026-02-02 08:57:58.892000,2026-02-10 08:57:58.892000
66,3,236,click,2025-12-30 08:57:58.897916,2026-02-10 08:57:58.897983
67,3,150,click,2026-01-09 08:57:58.900976,2026-02-10 08:57:58.900976
68,3,18,search,2025-12-22 08:57:58.905963,2026-02-10 08:57:58.905963
69,3,236,search,2026-01-08 08:57:58.911628,2026-02-10 08:57:58.911628
70,3,617,click,2026-02-10 08:57:58.919924,2026-02-10 08:57:58.919924
71,3,26,preview_viewed,2026-01-17 08:57:58.923958,2026-02-10 08:57:58.923958
72,3,547,preview_viewed,2025-12-29 08:57:58.928904,2026-02-10 08:57:58.928904
73,3,302,click,2026-01-09 08:57:58.937878,2026-02-10 08:57:58.937878
74,3,236,click,2025-12-02 08:57:58.942864,2026-02-10 08:57:58.942864
75,3,547,search,2026-01-28 08:57:58.949142,2026-02-10 08:57:58.949142
76,3,255,preview_viewed,2026-02-09 08:57:58.958564,2026-02-10 08:57:58.958564
77,3,143,preview_viewed,2026-02-10 08:57:58.967570,2026-02-10 08:57:58.967570
78,3,209,click,2025-12-27 08:57:58.971531,2026-02-10 08:57:58.971531
79,3,236,click,2025-09-27 08:57:58.976517,2026-02-10 08:57:58.976517
80,3,486,click,2025-12-19 08:57:58.984510,2026-02-10 08:57:58.984510
81,3,571,click,2026-01-14 08:57:58.995464,2026-02-10 08:57:58.995464
82,3,543,search,2025-12-30 08:57:58.998457,2026-02-10 08:57:58.998457
83,3,437,search,2026-01-15 08:57:59.003683,2026-02-10 08:57:59.003683
84,3,18,route_requested,2026-01-31 08:57:59.008433,2026-02-10 08:57:59.008433
85,4,339,click,2025-09-26 08:57:59.019442,2026-02-10 08:57:59.019442
86,4,288,click,2026-01-25 08:57:59.030374,2026-02-10 08:57:59.030374
87,4,596,route_requested,2025-09-19 08:57:59.039349,2026-02-10 08:57:59.039349
88,4,254,click,2026-01-08 08:57:59.049321,2026-02-10 08:57:59.049321
89,4,229,click,2026-01-14 08:57:59.067631,2026-02-10 08:57:59.067631
90,4,205,search,2026-01-17 08:57:59.075252,2026-02-10 08:57:59.076253
91,4,198,preview_viewed,2026-01-26 08:57:59.097194,2026-02-10 08:57:59.097194
92,4,373,skip,2025-12-25 08:57:59.100186,2026-02-10 08:57:59.100186
